genres,runtime,certificate,title,rate,year,votes,imgurl,desc
"Drama, Mystery, Sci-Fi",45,TV-MA,Travelers,8,II) ,17691,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjhmOGM4MWItOTlkMy00NWZlLWE2MDctYzFlYTIyZmEzOTUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_UY98_CR1,0,67,98_AL_.jpg","Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to save humanity from a terrible future."
"Crime, Drama, Mystery",114,PG-13,Murder on the Orient Express,6.8,2017,61329,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGFmM2NmYjYtMjAwNy00ZDkzLWI3ZWMtOGZhOTRhYzQwMTA0XkEyXkFqcGdeQXVyNzU2MzMyNTI@._V1_UX67_CR0,0,67,98_AL_.jpg","When a murder occurs on the train he's travelling on, celebrated detective Hercule Poirot is recruited to solve the case."
"Comedy, Romance",22,TV-PG,Modern Family,8.5,2009,281500,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzRjOTE1ZTEtMTkwYy00MDQ4LTkxMmYtNzgxMWFlY2YyZjU2XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UX67_CR0,0,67,98_AL_.jpg","Three different, but related families face trials and tribulations in their own uniquely comedic ways."
"Crime, Drama, Romance",130,R,Phantom Thread,8.8,2017,1336,"https://images-na.ssl-images-amazon.com/images/M/MV5BMWJkNzBkM2UtYWFlMC00NmEwLTgxOGUtMjVmMzYyZjgyMmEzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg","Set in 1950's London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover."
"Comedy, Romance",22,TV-14,The Big Bang Theory,8.3,2007,587726,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX67_CR0,0,67,98_AL_.jpg",A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
"Comedy, Drama",44,TV-14,Suits,8.6,2011,289357,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MjYzOTU2Nl5BMl5BanBnXkFtZTgwMzAxMTg5MTE@._V1_UX67_CR0,0,67,98_AL_.jpg","On the run from a drug deal gone bad, Mike Ross, a brilliant college-dropout, finds himself a job working with Harvey Specter, one of New York City's best lawyers."
Comedy,22,TV-PG,The Office,8.8,2005,238775,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNjAzMDE0NF5BMl5BanBnXkFtZTcwNTEyMzM3OA@@._V1_UY98_CR2,0,67,98_AL_.jpg","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
"Crime, Drama, Fantasy",42,TV-14,Lucifer,8.2,2015,95846,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4MTU0NzE1OF5BMl5BanBnXkFtZTgwODI3NDc0OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
"Drama, Horror, Mystery",121,R,The Killing of a Sacred Deer,7.3,2017,24996,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjU4NDcwOTA2NF5BMl5BanBnXkFtZTgwMjE2OTg4MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister."
"Crime, Drama, Thriller",49,TV-MA,Mr. Robot,8.6,2015,244307,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMDE2MzI4MF5BMl5BanBnXkFtZTgwNTkxODgxOTE@._V1_UX67_CR0,0,67,98_AL_.jpg","Follows Elliot, a young programmer working as a cyber-security engineer by day, and a vigilante hacker by night."
"Comedy, Drama",57,TV-MA,The Marvelous Mrs. Maisel,9,2017,7331,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTI0MjllMGMtOGYxMi00MTczLWJiMzMtNTA2ZmYxMDE5NmRiXkEyXkFqcGdeQXVyNjkwNzEwMzU@._V1_UX67_CR0,0,67,98_AL_.jpg",A housewife in the 1950s decides to become a stand-up comic.
"Action, Crime, Music",112,R,Baby Driver,7.7,2017,239013,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_UX67_CR0,0,67,98_AL_.jpg","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
"Comedy, Crime, Drama",118,PG-13,Logan Lucky,7.1,2017,51347,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyODg0NDU1OV5BMl5BanBnXkFtZTgwNjcxMzU0MjI@._V1_UX67_CR0,0,67,98_AL_.jpg",Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.
"Action, Biography, Comedy",115,R,American Made,7.2,2017,62818,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNzUwMjk1Nl5BMl5BanBnXkFtZTgwNDkwODI1MjI@._V1_UX67_CR0,0,67,98_AL_.jpg","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair."
"Drama, Mystery, Sci-Fi",62,TV-MA,Westworld,8.9,2016,241696,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTEyODk5NTc2MjNeQTJeQWpwZ15BbWU4MDQ5NTgwOTkx._V1_UX67_CR0,0,67,98_AL_.jpg","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite, no matter how noble or depraved, can be indulged without consequence."
"Drama, Fantasy, Romance",64,TV-MA,Outlander,8.5,2014,73070,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwMDUyMzgyNDVeQTJeQWpwZ15BbWU4MDQ3ODU3ODIy._V1_UX67_CR0,0,67,98_AL_.jpg",An English combat nurse from 1945 is mysteriously swept back in time to 1743.
"Action, Adventure, Fantasy",141,PG-13,Wonder Woman,7.6,2017,352203,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDFmZjgyMTEtYTk5MC00NmY0LWJhZjktOWY2MzI5YjkzODNlXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
"Adventure, Drama, Western",133,R,Hostiles,7.1,2017,1018,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTBlNGQ1NDctMjY0Yy00MjZlLWIxMzYtYjVmZmQzMTI5OTdiXkEyXkFqcGdeQXVyNjkwMzU3NDI@._V1_UX67_CR0,0,67,98_AL_.jpg","In 1892, a legendary Army captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory."
"Crime, Drama, Mystery",42,TV-14,Criminal Minds,8.1,2005,123400,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGE2ZmFkZTYtNjRiOS00ZjE3LThjOWMtZTViZjRmNDFjNTQwXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX67_CR0,0,67,98_AL_.jpg","The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again."
Comedy,100,PG-13,Daddy's Home 2,6.2,2017,10000,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDA4Nzc1OTg2OV5BMl5BanBnXkFtZTgwODE3ODgwNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays."
"Action, Crime, Drama",42,TV-14,Gotham,7.9,2014,168400,"https://images-na.ssl-images-amazon.com/images/M/MV5BODEyODExMjg0NF5BMl5BanBnXkFtZTgwODgxOTY0MzI@._V1_UY98_CR5,0,67,98_AL_.jpg",The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
"Action, Mystery, Thriller",115,R,Atomic Blonde,6.8,2017,92043,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM5NDYzMzg5N15BMl5BanBnXkFtZTgwOTM2NDU1MjI@._V1_UX67_CR0,0,67,98_AL_.jpg",An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.
"Crime, Drama",60,TV-14,Manhunt: Unabomber,8.2,2017,9892,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTcxMjEyMzc4NV5BMl5BanBnXkFtZTgwOTQ4MjE4MjI@._V1_UX67_CR0,0,67,98_AL_.jpg",An in-depth look at how an FBI profiler helped track down the Unabomber.
Drama,41,TV-14,The Good Doctor,8.5,2017,16723,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0Nzk2MDE2MV5BMl5BanBnXkFtZTgwMzg0MzI3MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
"Adventure, Comedy, Drama",44,TV-14,The Orville,7.9,2017,25059,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5NTAxNzk2M15BMl5BanBnXkFtZTgwMzYwODEyMzI@._V1_UX67_CR0,0,67,98_AL_.jpg","Follows the crew of the not-so-functional exploratory ship in the Earth's interstellar fleet, 400 years in the future."
"Biography, Comedy, Drama",121,PG-13,Battle of the Sexes,6.8,2017,13653,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTljYmU2NTMtODhhNC00NjlhLWJhZTUtNDllODYyYWM4ZjA5XkEyXkFqcGdeQXVyNjM0ODk5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg",The true story of the 1973 tennis match between World number one
"Biography, Crime, Drama",49,TV-MA,Narcos,8.9,2015,228688,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0ODQ4NDg2OF5BMl5BanBnXkFtZTgwNzczNTE4OTE@._V1_UX67_CR0,0,67,98_AL_.jpg","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
"Action, Adventure, Sci-Fi",133,PG-13,Spider-Man: Homecoming,7.6,2017,258347,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@._V1_UX67_CR0,0,67,98_AL_.jpg","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
"Drama, Mystery, Sci-Fi",43,TV-14,The 100,7.8,2014,141635,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzI0NzM4Mjk3MV5BMl5BanBnXkFtZTgwNTg0MDQyMTI@._V1_UY98_CR5,0,67,98_AL_.jpg","Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet."
"Comedy, Drama",45,TV-14,This Is Us,8.8,2016,45066,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MzIwMjA5OV5BMl5BanBnXkFtZTgwNDYyOTExMzI@._V1_UY98_CR5,0,67,98_AL_.jpg","Follows a unique ensemble, as their paths cross and their life stories interwine, from sharing the same birthday, to so much more than anyone would expect."
"Drama, Horror, Thriller",60,TV-MA,American Horror Story,8.2,2011,223827,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTcwMDAzMF5BMl5BanBnXkFtZTgwMzQ2MzkzMzI@._V1_UY98_CR0,0,67,98_AL_.jpg","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show, a hotel, a possessed farmhouse, and a cult."
"Drama, Horror, Sci-Fi",109,PG-13,Flatliners,5.1,2017,13389,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMTk2ODk0NDNeQTJeQWpwZ15BbWU4MDMxNTExNjIy._V1_UX67_CR0,0,67,98_AL_.jpg","Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife."
"Crime, Drama, Thriller",49,TV-MA,Breaking Bad,9.5,2008,1047694,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDNhNzhkNDctOTlmOS00NWNmLWEyODQtNWMxM2UzYmJiNGMyXkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_UY98_CR1,0,67,98_AL_.jpg",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
"Action, Adventure, Drama",60,TV-14,Knightfall,6.3,2017,2669,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA4NTE2ODQ4MTBeQTJeQWpwZ15BbWU4MDA4MDM0MzQz._V1_UX67_CR0,0,67,98_AL_.jpg",A look at the final days of Knights Templar during the 14th century.
"Crime, Drama, Horror",119,R,The Snowman,5.1,2017,18805,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDg1NjYyMTEyOF5BMl5BanBnXkFtZTgwNzY4MDMyMzI@._V1_UX67_CR0,0,67,98_AL_.jpg",Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.
"Action, Adventure, Comedy",42,TV-14,The Librarians,7.3,2014,15093,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyOTY5MDM0MF5BMl5BanBnXkFtZTgwNzU0MzAyNDM@._V1_UX67_CR0,0,67,98_AL_.jpg","A group of librarians set off on adventures in an effort to save mysterious, ancient artifacts."
Comedy,113,R,Father Figures,5,2017,838,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3MDQ4MDI1M15BMl5BanBnXkFtZTgwMDYxMjcxNDM@._V1_UX67_CR0,0,67,98_AL_.jpg","Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him."
"Drama, History","
Drama, History            ",TV-MA,Gunpowder,7,2017,4360,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MTI0MDI5OV5BMl5BanBnXkFtZTgwNzczMDYzNDM@._V1_UX67_CR0,0,67,98_AL_.jpg",British activist Guy Fawkes and a group of provincial English Catholics plan to blow up the House of Lords and kill King James I in the early 17th century.
"Drama, Sci-Fi",60,TV-MA,The Handmaid's Tale,8.6,2017,47382,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzEzNTIzMDk2OF5BMl5BanBnXkFtZTgwNjIzODQxMjI@._V1_UX67_CR0,0,67,98_AL_.jpg","Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
"Comedy, Crime",22,TV-14,Brooklyn Nine-Nine,8.3,2013,90100,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDc3NzQxODAwOV5BMl5BanBnXkFtZTgwODkwMjU2MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","Jake Peralta, an immature but talented NYPD detective in Brooklyn's 99th Precinct, comes into immediate conflict with his new commanding officer, the serious and stern Captain Ray Holt."
"Action, Adventure, Fantasy",137,PG-13,Valerian and the City of a Thousand Planets,6.6,2017,88251,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMDAxNDUyNV5BMl5BanBnXkFtZTgwOTc3MzcxMjI@._V1_UX67_CR0,0,67,98_AL_.jpg","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe."
"Action, Adventure, Comedy",129,R,Kingsman: The Secret Service,7.7,2014,487828,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMjgwMDM4Ml5BMl5BanBnXkFtZTgwMTk3NTIwNDE@._V1_UX67_CR0,0,67,98_AL_.jpg","A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius."
"Crime, Drama, Mystery",107,R,Wind River,7.8,2017,81093,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMjU1OTUwM15BMl5BanBnXkFtZTgwMDg1NDQ2MjI@._V1_UX67_CR0,0,67,98_AL_.jpg","A veteran tracker with the Fish and Wildlife Service helps to investigate the murder of a young Native American woman, and uses the case as a means of seeking redemption for an earlier act of irresponsibility which ended in tragedy."
"Action, Drama, Sci-Fi",137,R,Logan,8.1,2017,425691,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwODQwNTg4OV5BMl5BanBnXkFtZTgwMTk4MTAzMjI@._V1_UX67_CR0,0,67,98_AL_.jpg","In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces."
"Action, Drama, Fantasy",43,TV-14,The Gifted,7.9,2017,13200,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzY5NTI0ODg5MV5BMl5BanBnXkFtZTgwMTM0NjM5MjI@._V1_UX67_CR0,0,67,98_AL_.jpg","In a world where mutated humans are treated with distrust and fear, an institute for mutants battles to achieve peaceful co-existence with humanity."
"Adventure, Fantasy, Romance",44,TV-PG,Once Upon a Time,7.9,2011,187677,"https://images-na.ssl-images-amazon.com/images/M/MV5BNmVjNGRlM2UtNTc3Zi00NDliLTg1NzItZjY1ZDFjNDI0MWFmXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UX67_CR0,0,67,98_AL_.jpg",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.
"Crime, Drama, Mystery",43,TV-14,The Blacklist,8.1,2013,134074,"https://images-na.ssl-images-amazon.com/images/M/MV5BMGYyZDFjOGMtNDE2Zi00ODg3LWJiZjktMWFiYjUwOTVmNjBkXkEyXkFqcGdeQXVyNjMxNzcwOTI@._V1_UX67_CR0,0,67,98_AL_.jpg","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
"Horror, Thriller",123,R,Mom and Dad,6.7,2017,271,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTQ5NDkwZDQtNzk3OC00YmNkLWEzZjUtMDIyMmY4MzUxYzI0XkEyXkFqcGdeQXVyMTg2NjYzOA@@._V1_UY98_CR2,0,67,98_AL_.jpg",A teenage girl and her little brother must survive a wild 24 hours during which a mass hysteria of unknown origins causes parents to turn violently on their own kids.
"Drama, History","
Drama, History            ",,The Miniaturist,7.2,2017,502,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWU3Zjg4YjUtN2VlYi00MWFiLThhMjYtNjZkOGE1MzEwOGUyXkEyXkFqcGdeQXVyNTQxOTM1NTc@._V1_UY98_CR53,0,67,98_AL_.jpg","A woman moves to live with her new husband in 17th century Amsterdam, but soon discovers that not everything is what it seems. Based on the adaptation by Jessie Burton."
Comedy,30,TV-MA,Jean-Claude Van Johnson,8.1,2016,3365,"https://images-na.ssl-images-amazon.com/images/M/MV5BMmFkYjc2ZGUtMGQ1MC00MWQ2LTg0MzctN2Y5MTgxY2NhYThlXkEyXkFqcGdeQXVyNjkwNzEwMzU@._V1_UX67_CR0,0,67,98_AL_.jpg","Stars global martial arts & actor Jean-Claude Van Damme playing ""Jean-Claude Van Damme"", a global martial arts & film sensation, also operating under the simple alias of ""Johnson"" as the ..."
"Drama, Mystery",60,TV-MA,13 Reasons Why,8.4,2017,144264,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTFmNzRlNWYtMmFmNi00ZTFiLWJhODgtOGM5ODQ5NTgxZWUwL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX67_CR0,0,67,98_AL_.jpg","Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life."
"Action, Adventure, Drama",161,PG,Tiger Is Alive,7,2017,8839,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzOTk4OTA5N15BMl5BanBnXkFtZTgwMzUzNDIwNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","Inspired by real events, Tiger Zinda Hai is a sequel to the blockbuster Ek Tha Tiger, and an espionage action thriller that follows an adventurous rescue mission in Iraq."
"Action, Drama, Mystery",60,TV-14,Designated Survivor,7.8,2016,41826,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjUxODc2NTIxMl5BMl5BanBnXkFtZTgwMjgxMDkyMzI@._V1_UX67_CR0,0,67,98_AL_.jpg",A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.
"Comedy, Romance",138,PG-13,The Holiday,6.9,2006,202936,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MDk4MzA2OF5BMl5BanBnXkFtZTYwMjQ3NDc3._V1_UX67_CR0,0,67,98_AL_.jpg","Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
"Crime, Drama",132,Not Rated,Brawl in Cell Block 99,7.2,2017,14978,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzQ4MjEyNjg4Nl5BMl5BanBnXkFtZTgwOTY1NDEzMzI@._V1_UX67_CR0,0,67,98_AL_.jpg",A former boxer-turned-drug runner lands in a prison battleground after a deal gets deadly.
"Action, Adventure, Crime",123,TV-MA,What Happened to Monday,6.9,2017,42480,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MDQxMDg3MF5BMl5BanBnXkFtZTgwNjQ0MTcwMzI@._V1_UX67_CR0,0,67,98_AL_.jpg","In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own."
"Crime, Drama, Mystery",88,TV-14,Sherlock,9.2,2010,618393,"https://images-na.ssl-images-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
"Crime, Drama, Mystery",60,TV-MA,Big Little Lies,8.6,2017,59628,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2VjYmU2NjYtMzgyZi00YmYwLWJhNWUtNTk4ZmRmNWNmZTljL2ltYWdlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UX67_CR0,0,67,98_AL_.jpg",The apparently perfect lives of three mothers of first graders unravel to the point of murder.
